Issue Type,Summary,Description,Labels
Story,"S2-001 Implement Job Search Across Dashboard","Story ID: S2-001\nOutcome: Users can search jobs by title/company/keywords with immediate result updates.\nRules: S2-BR-001, S2-BR-003","sprint2 dashboard search"
Story,"S2-002 Implement Job Filter Controls","Story ID: S2-002\nOutcome: Users can filter by stage, location, and deadline state.\nRules: S2-BR-004","sprint2 dashboard filter"
Story,"S2-003 Implement Job Sorting Controls","Story ID: S2-003\nOutcome: Users can sort by last activity, deadline, company, and created date.\nRules: S2-BR-004","sprint2 dashboard sort"
Story,"S2-004 Implement Stage Status Indicators on Job Cards","Story ID: S2-004\nOutcome: Cards clearly display current stage and urgency cues.\nRules: S2-BR-004, S2-BR-005","sprint2 dashboard ui"
Story,"S2-005 Implement Job Card to Job Detail Expansion Pattern","Story ID: S2-005\nOutcome: Every job card opens to a consistent job detail UI pattern.\nRules: S2-BR-004, S2-BR-013","sprint2 dashboard ui"
Story,"S2-006 Implement Job Detail Overview Section","Story ID: S2-006\nOutcome: Users can edit core job data in a dedicated overview panel.\nRules: S2-BR-001, S2-BR-003","sprint2 dashboard job-detail"
Story,"S2-007 Implement Job Deadline and Recruiter Contact Notes Fields","Story ID: S2-007\nOutcome: Job detail supports deadline field and recruiter/contact notes with persistence and edit support.\nRules: S2-BR-001, S2-BR-003, S2-BR-017","sprint2 dashboard job-detail"
Story,"S2-008 Implement Pipeline Stage Transition Controls","Story ID: S2-008\nOutcome: Users can change stage from detail view and dashboard controls.\nRules: S2-BR-004, S2-BR-005, S2-BR-007, S2-BR-008","sprint2 dashboard pipeline"
Story,"S2-009 Persist Stage Transition Timestamps","Story ID: S2-009\nOutcome: Stage changes are recorded with timestamps for timeline and analytics use.\nRules: S2-BR-009","sprint2 dashboard pipeline"
Story,"S2-010 Implement Job Activity Timeline","Story ID: S2-010\nOutcome: Timeline displays key events (applied, follow-up, interview, outcome).\nRules: S2-BR-009, S2-BR-013","sprint2 dashboard timeline"
Story,"S2-011 Implement Interview Tracking in Job Detail","Story ID: S2-011\nOutcome: Users can add/edit interview events with round type, date/time, and notes.\nRules: S2-BR-010, S2-BR-011","sprint2 dashboard interview"
Story,"S2-012 Implement Follow Up and Reminder Tracking","Story ID: S2-012\nOutcome: Users can create and manage follow-up tasks/reminders tied to a job.\nRules: S2-BR-012, S2-BR-013","sprint2 dashboard workflow"
Story,"S2-013 Implement Outcome Tracking Controls","Story ID: S2-013\nOutcome: Users can record final outcome states and notes for each job.\nRules: S2-BR-004, S2-BR-005","sprint2 dashboard workflow"
Story,"S2-014 Implement Job Archive and Restore Workflow","Story ID: S2-014\nOutcome: Users can archive and restore jobs while preserving full history and linked records.\nRules: S2-BR-006, S2-BR-009","sprint2 dashboard workflow"
Story,"S2-015 Implement Job Delete Workflow","Story ID: S2-015\nOutcome: Users can delete jobs through a guarded workflow (confirmation and ownership checks).\nRules: S2-BR-021","sprint2 dashboard workflow"
Story,"S2-016 Implement Experience Section CRUD","Story ID: S2-016\nOutcome: Users can add/edit/delete/reorder employment and project entries.\nRules: S2-BR-014, S2-BR-015, S2-BR-017","sprint2 profile"
Story,"S2-017 Implement Education Section CRUD","Story ID: S2-017\nOutcome: Users can add/edit/delete education records with full required fields.\nRules: S2-BR-014, S2-BR-015, S2-BR-017","sprint2 profile"
Story,"S2-018 Implement Skills Section CRUD","Story ID: S2-018\nOutcome: Users can add/edit/delete/reorder skills with optional category/proficiency.\nRules: S2-BR-014, S2-BR-016, S2-BR-017","sprint2 profile"
Story,"S2-019 Implement Career Preferences Section CRUD","Story ID: S2-019\nOutcome: Users can maintain target roles, location preferences, work mode, and salary preference.\nRules: S2-BR-014, S2-BR-017","sprint2 profile"
Story,"S2-020 Implement Section Level Save Validation UX for Profile","Story ID: S2-020\nOutcome: Each profile section saves independently with clear validation feedback.\nRules: S2-BR-014, S2-BR-015, S2-BR-016, S2-BR-017","sprint2 profile ui"
Story,"S2-021 Implement AI Resume Draft from Profile and Job Context","Story ID: S2-021\nOutcome: Users can generate a resume draft from job detail using profile data and job data.\nRules: S2-BR-018, S2-BR-019, S2-BR-020","sprint2 ai documents"
Story,"S2-022 Implement AI Cover Letter Draft from Profile and Job Context","Story ID: S2-022\nOutcome: Users can generate a cover letter draft from job detail using profile and job context.\nRules: S2-BR-018, S2-BR-019, S2-BR-020","sprint2 ai documents"
Story,"S2-023 Implement AI Rewrite Improve Actions for Draft Content","Story ID: S2-023\nOutcome: Users can request AI rewrites/improvements and compare before saving.\nRules: S2-BR-018, S2-BR-020","sprint2 ai documents"
Story,"S2-024 Implement Document Save from Job Context","Story ID: S2-024\nOutcome: Generated/edited drafts can be saved as document records linked to job context.\nRules: S2-BR-021","sprint2 documents dashboard"
Story,"S2-025 Implement Dashboard Metrics Stage Counts and Response Tracking","Story ID: S2-025\nOutcome: Dashboard displays baseline metrics computed from stored job/outcome data.\nRules: S2-BR-022, S2-BR-023","sprint2 dashboard analytics"
Story,"S2-026 Add Unit Tests for Job Workflow and Profile Completion Logic","Story ID: S2-026\nOutcome: Core domain logic for stage transitions, timeline events, and profile completeness is unit-tested.\nRules: S2-BR-009, S2-BR-014, S2-BR-022","sprint2 testing quality"
