ID,Checklist Item (Yes/No),Evidence To Observe,Sprint 3 Story Coverage,Score
C01,Team is ready to begin on time when called,Demo starts without delay beyond allocated transition/setup,S3-015 to S3-022,
C02,Demo environment is operational at start,Deployed app or stable runtime loads successfully,"S3-015, S3-017, S3-022",
C03,Seed data includes a primary demo user with multiple documents,At least 6-8 documents are available for the demo,S3-001 to S3-010,
C04,Second user account exists for ownership checks,Team can switch users for security evidence,"S3-002, S3-012, S3-020, S3-021",
C05,Document library list view is available,Global document list is visible and usable,S3-001,
C06,Document metadata displays correctly,"Title, type, status, tags, and updated date are visible",S3-002,
C07,Document upload validation works,Supported format uploads succeed and unsupported are rejected,"S3-004, S3-005",
C08,Version history is visible and usable,Team can open version metadata/history for a document,"S3-003, S3-007, S3-008",
C09,Duplicate and rename workflow works,A document can be duplicated and renamed cleanly,S3-007,
C10,Archive and restore workflow works,Document can be archived and restored without losing history,"S3-008, S3-009",
C11,Job detail shows linked documents clearly,Linked document section is visible and understandable,"S3-009, S3-010",
C12,One resume and one cover letter max are enforced per job (negative/constraint case),Replacement or duplicate link is blocked/confirmed as required,"S3-010, S3-011, S3-012",
C13,Company research can be triggered from job detail,User-provided prompt/context drives research generation,S3-011,
C14,Company research output saves as editable job notes,Research output persists to the job record,S3-012,
C15,Interview prep notes section is usable,Structured notes can be edited and saved,S3-013,
C16,Analytics show velocity and stage conversion,Dashboard metrics reflect persisted events,S3-014,
C17,Analytics are based on stored backend data not UI-only state,Team can explain source of metric values,"S3-014, S3-015",
C18,Deployment checks and health checks are visible in CI/CD evidence,Pipeline includes deployment and health verification,"S3-015, S3-017, S3-018",
C19,Centralized error handling/logging evidence is shown,Sanitized error output or logged failure path is visible,S3-018,
C20,Smoke-test or release-readiness evidence is present,Demo-critical flow has verification evidence,"S3-020, S3-022",
C21,Team opens GitHub Actions and shows latest relevant workflow run,Actions page is shown live with recent run context,"S3-017, S3-018, S3-022",
C22,GitHub Actions evidence shows build + unit test execution,Workflow details clearly include build/test jobs,"S3-020, S3-021, S3-022",
C23,Team can show negative unit tests for document/workflow rules,At least one negative test is demonstrated live,"S3-007, S3-010, S3-021",
C24,Team can show negative unit tests for deployment/reliability checks,At least one negative test tied to CI/CD or error handling is demonstrated,"S3-018, S3-019, S3-022",
C25,Team is prepared to show at least three negative unit tests and explain each,Three negative tests are shown and briefly explained,"S3-010, S3-018, S3-021, S3-022",
